[01, 01], {0000}, NAN
[01, 02], {0099}, Cat
[01, 03], {0100}, Dog
[01, 04], {0000}, UNUSED
[01, 05], {0000}, UNUSED
[01, 06], {0000}, UNUSED
[01, 07], {0000}, UNUSED
[01, 08], {0000}, UNUSED
[01, 09], {0000}, UNUSED
[01, 10], {0000}, UNUSED
[01, 11], {0000}, UNUSED
[01, 12], {0000}, NAN
[02, 01], {0000}, UNUSED
[02, 02], {0000}, UNUSED
[02, 03], {0000}, UNUSED
[02, 04], {0000}, UNUSED
[02, 05], {0000}, UNUSED
[02, 06], {0000}, UNUSED
[02, 07], {0000}, UNUSED
[02, 08], {0000}, UNUSED
[02, 09], {0000}, UNUSED
[02, 10], {0000}, UNUSED
[02, 11], {0000}, UNUSED
[02, 12], {0000}, UNUSED
[03, 01], {0000}, UNUSED
[03, 02], {0000}, UNUSED
[03, 03], {0000}, UNUSED
[03, 04], {0000}, UNUSED
[03, 05], {0000}, UNUSED
[03, 06], {0000}, UNUSED
[03, 07], {0000}, UNUSED
[03, 08], {0000}, UNUSED
[03, 09], {0000}, UNUSED
[03, 10], {0000}, UNUSED
[03, 11], {0000}, UNUSED
[03, 12], {0000}, UNUSED
[04, 01], {0000}, UNUSED
[04, 02], {0000}, UNUSED
[04, 03], {0000}, UNUSED
[04, 04], {0000}, UNUSED
[04, 05], {0000}, UNUSED
[04, 06], {0000}, UNUSED
[04, 07], {0000}, UNUSED
[04, 08], {0000}, UNUSED
[04, 09], {0000}, UNUSED
[04, 10], {0000}, UNUSED
[04, 11], {0000}, UNUSED
[04, 12], {0000}, UNUSED
[05, 01], {0000}, UNUSED
[05, 02], {0000}, UNUSED
[05, 03], {0000}, UNUSED
[05, 04], {0000}, UNUSED
[05, 05], {0000}, UNUSED
[05, 06], {0000}, UNUSED
[05, 07], {0000}, UNUSED
[05, 08], {0000}, UNUSED
[05, 09], {0000}, UNUSED
[05, 10], {0000}, UNUSED
[05, 11], {0000}, UNUSED
[05, 12], {0000}, UNUSED
[06, 01], {0000}, UNUSED
[06, 02], {0000}, UNUSED
[06, 03], {0000}, UNUSED
[06, 04], {0000}, UNUSED
[06, 05], {0000}, UNUSED
[06, 06], {0000}, UNUSED
[06, 07], {0000}, UNUSED
[06, 08], {0000}, UNUSED
[06, 09], {0000}, UNUSED
[06, 10], {0000}, UNUSED
[06, 11], {0000}, UNUSED
[06, 12], {0000}, UNUSED
[07, 01], {0000}, UNUSED
[07, 02], {0000}, UNUSED
[07, 03], {0000}, UNUSED
[07, 04], {0000}, UNUSED
[07, 05], {0000}, UNUSED
[07, 06], {0000}, UNUSED
[07, 07], {0000}, UNUSED
[07, 08], {0000}, UNUSED
[07, 09], {0000}, UNUSED
[07, 10], {0000}, UNUSED
[07, 11], {0000}, UNUSED
[07, 12], {0000}, UNUSED
[08, 01], {0000}, UNUSED
[08, 02], {0000}, UNUSED
[08, 03], {0000}, UNUSED
[08, 04], {0000}, UNUSED
[08, 05], {0000}, UNUSED
[08, 06], {0000}, UNUSED
[08, 07], {0000}, UNUSED
[08, 08], {0000}, UNUSED
[08, 09], {0000}, UNUSED
[08, 10], {0000}, UNUSED
[08, 11], {0000}, UNUSED
[08, 12], {0000}, UNUSED
